% mqtt logfile, enabled=true
% broker=tcp://localhost:1883
% context=drive
% client id=tif_in
% system=robobot/ (top level ID)
% function=drive/ (next level name)
% 1 	Time (sec)
% 2 	Quality of service 0=max once, 1=at least once, 2=once, S=subscribe
% 3 	'Topic'
% 4 	Message / payload
1740133742.7732 0 drive robobot/cmd/ti/log 1
1740133743.0677 0 drive robobot/cmd/T0/enc0  
1740133743.0679 0 drive robobot/cmd/T0/confw 0.075 0.075 19 68 0.23
1740133743.0681 0 drive robobot/cmd/T0/encrev 1
1740133743.0682 0 drive robobot/cmd/T0/confi  
1740133743.3596 0 drive robobot/cmd/T0/lip 1
1740133743.3800 0 drive robobot/cmd/T0/liwi  
1740133745.4747 0 drive robobot/cmd/ti/rc 0.250 -0.474 1740133745.4745345
1740133745.4845 0 drive robobot/cmd/ti/rc 0.250 -0.436 1740133745.4842732
1740133745.4942 0 drive robobot/cmd/ti/rc 0.250 -0.405 1740133745.4941018
1740133745.5042 0 drive robobot/cmd/ti/rc 0.250 -0.364 1740133745.5039973
1740133745.5160 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133745.5151854
1740133745.5245 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133745.5244203
1740133745.5345 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133745.5343337
1740133745.5445 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133745.544352
1740133745.5544 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133745.5542734
1740133745.5645 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133745.5642686
1740133745.5742 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133745.574064
1740133745.5844 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133745.5842054
1740133745.5942 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133745.594038
1740133745.6039 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133745.6038206
1740133745.6138 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133745.6137316
1740133745.6240 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133745.6238585
1740133745.6338 0 drive robobot/cmd/ti/rc 0.250 0.989 1740133745.633642
1740133745.6437 0 drive robobot/cmd/ti/rc 0.250 0.993 1740133745.6435957
1740133745.6538 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133745.6536155
1740133745.6637 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133745.663536
1740133745.6736 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133745.6735215
1740133745.6838 0 drive robobot/cmd/ti/rc 0.250 0.949 1740133745.6835904
1740133745.6936 0 drive robobot/cmd/ti/rc 0.250 0.932 1740133745.6934664
1740133745.7037 0 drive robobot/cmd/ti/rc 0.250 0.915 1740133745.703595
1740133745.7152 0 drive robobot/cmd/ti/rc 0.250 0.922 1740133745.7149494
1740133745.7254 0 drive robobot/cmd/ti/rc 0.250 0.910 1740133745.7249112
1740133745.7340 0 drive robobot/cmd/ti/rc 0.250 0.885 1740133745.733741
1740133745.7437 0 drive robobot/cmd/ti/rc 0.250 0.853 1740133745.743523
1740133745.7537 0 drive robobot/cmd/ti/rc 0.250 0.812 1740133745.7534633
1740133745.7647 0 drive robobot/cmd/ti/rc 0.250 0.804 1740133745.7644448
1740133745.7746 0 drive robobot/cmd/ti/rc 0.250 0.779 1740133745.774435
1740133745.7845 0 drive robobot/cmd/ti/rc 0.250 0.732 1740133745.7843368
1740133745.7945 0 drive robobot/cmd/ti/rc 0.250 0.698 1740133745.7944262
1740133745.8045 0 drive robobot/cmd/ti/rc 0.250 0.659 1740133745.8043454
1740133745.8145 0 drive robobot/cmd/ti/rc 0.250 0.635 1740133745.8142474
1740133745.8237 0 drive robobot/cmd/ti/rc 0.250 0.593 1740133745.82353
1740133745.8284 0 drive robobot/cmd/ti/alive 2025-02-21 11:29:02.769003
1740133745.8349 0 drive robobot/cmd/ti/rc 0.250 0.572 1740133745.8346267
1740133745.8447 0 drive robobot/cmd/ti/rc 0.250 0.561 1740133745.8444624
1740133745.8546 0 drive robobot/cmd/ti/rc 0.250 0.544 1740133745.8544645
1740133745.8645 0 drive robobot/cmd/ti/rc 0.250 0.517 1740133745.8643372
1740133745.8744 0 drive robobot/cmd/ti/rc 0.250 0.477 1740133745.8742251
1740133745.8842 0 drive robobot/cmd/ti/rc 0.250 0.456 1740133745.8841195
1740133745.8944 0 drive robobot/cmd/ti/rc 0.250 0.423 1740133745.8942146
1740133745.9042 0 drive robobot/cmd/ti/rc 0.250 0.403 1740133745.9040296
1740133745.9145 0 drive robobot/cmd/ti/rc 0.250 0.371 1740133745.91438
1740133745.9249 0 drive robobot/cmd/ti/rc 0.250 0.336 1740133745.9247296
1740133745.9337 0 drive robobot/cmd/ti/rc 0.250 0.304 1740133745.9335787
1740133745.9440 0 drive robobot/cmd/ti/rc 0.250 0.277 1740133745.943839
1740133745.9548 0 drive robobot/cmd/ti/rc 0.250 0.243 1740133745.9546363
1740133745.9647 0 drive robobot/cmd/ti/rc 0.250 0.210 1740133745.9645164
1740133745.9746 0 drive robobot/cmd/ti/rc 0.250 0.175 1740133745.9744096
1740133745.9845 0 drive robobot/cmd/ti/rc 0.250 0.144 1740133745.9843278
1740133745.9943 0 drive robobot/cmd/ti/rc 0.250 0.115 1740133745.9940672
